Name,Department,Quality Rating,Number of Ratings,Would Take Again,Difficulty
John J. Shynk,Engineering,3.8,6 ratings,N/A,2.5
Angela Pitenis,Engineering,4.2,5 ratings,80%,2.6
Tresa Pollock,Engineering,4.8,2 ratings,N/A,2
Allan Avila,Engineering,1.5,2 ratings,0%,4.5
Christopher Palmstrom,Engineering,3.8,2 ratings,100%,3.5
Bolin Liao,Engineering,3.0,2 ratings,50%,4
Samuel LI,Engineering,2.0,1 ratings,N/A,5
Stephen Wilson,Engineering,0.0,0 ratings,N/A,0
Moh El Soussi,Engineering,3.3,25 ratings,0%,2.6
Jeff Moehlis,Engineering,4.3,25 ratings,80%,2.4
Volkan Rodoplu,Engineering,3.8,16 ratings,N/A,3.8
Francesco Bullo,Engineering,4.0,7 ratings,N/A,3.4
Kim Turner,Engineering,3.6,7 ratings,0%,3.3
Pierre Petroff,Engineering,1.3,6 ratings,N/A,4.5
Patrick Yue,Engineering,1.5,6 ratings,N/A,4.8
George Homsy,Engineering,4.4,5 ratings,N/A,3.2
Michael Liebling,Engineering,5.0,5 ratings,N/A,2.8
Kerem Camsari,Engineering,4.8,5 ratings,100%,3
Mitchel Craun,Engineering,0.0,0 ratings,N/A,0
Luke Theogarajan,Engineering,4.1,49 ratings,86%,2.7
Mark Rodwell,Engineering,2.6,25 ratings,25%,3.5
Ilan Ben-Yaacov,Engineering,3.9,24 ratings,25%,2.6
Igor Mezic,Engineering,3.9,17 ratings,89%,3.6
Joao Hespanha,Engineering,4.9,10 ratings,100%,1.9
Behrooz Parhami,Engineering,2.4,9 ratings,0%,2.6
Jim Speck,Engineering,2.3,9 ratings,0%,3.4
Sharad Shankar,Engineering,5.0,7 ratings,100%,3
Orville Sandall,Engineering,2.7,6 ratings,N/A,3.5
Samuel Wang,Engineering,4.8,4 ratings,100%,3.3
Maurice Filo,Engineering,4.8,3 ratings,N/A,2.3
Petzold Linda,Engineering,2.2,3 ratings,0%,4.3
Chris Van De Walle,Engineering,2.8,2 ratings,100%,2.5
Daniel Gianola,Engineering,4.5,2 ratings,100%,2.5
Stephen Long,Engineering,2.8,2 ratings,N/A,4.5
Candace Waid,English,3.1,74 ratings,32%,3
Enda Duffy,English,4.2,60 ratings,80%,2.8
Aranye Fradenburg,English,3.0,48 ratings,100%,3.2
Chris Newfield,English,3.8,40 ratings,19%,2.4
Julie Carlson,English,4.0,40 ratings,75%,2.8
Elizabeth Cook,English,4.1,35 ratings,100%,3
Stephanie Lemenager,English,4.7,29 ratings,N/A,2.6
Shirley Lim,English,3.8,27 ratings,0%,2.7
Michael O'Connell,English,3.5,24 ratings,N/A,3
Robert Erickson,English,3.0,21 ratings,N/A,3.4
Cynthia Davis,English,4.1,21 ratings,N/A,2.1
Irina Wender,English,3.2,18 ratings,N/A,3.1
Timothy Gilmore,English,3.0,18 ratings,38%,2.5
Bernadette Andrea,English,4.1,14 ratings,72%,3.4
Jennifer Wicke,English,4.7,13 ratings,100%,1.6
Baron Haber,English,4.9,12 ratings,100%,2.3
Kevin Kearney,English,4.6,10 ratings,N/A,2
Patricia Morland,English,4.4,10 ratings,80%,2.6
John Wilson,English,4.4,8 ratings,N/A,2.9
Geoffrey McNeil,English,3.9,8 ratings,0%,3.6
Kyle Bucy,English,5.0,4 ratings,N/A,3
Jamal Russell,English,4.3,4 ratings,75%,3.8
Shannon Brennan,English,5.0,2 ratings,N/A,1.5
Lindsay Thomas,English,4.5,1 ratings,N/A,2
Tyler Sage,English,5.0,1 ratings,N/A,3
Maria Fedorova,English,5.0,1 ratings,100%,4
Ryan Hunter,English,0.0,0 ratings,N/A,0
Aili Pettersson Peeker,English,0.0,0 ratings,N/A,0
Stephanie Batiste,English,2.7,48 ratings,32%,3.8
Teddy Macker,English,4.1,40 ratings,N/A,2.6
Kay Young,English,4.3,28 ratings,50%,3.7
Ben Olguin,English,2.4,19 ratings,43%,2.9
Rebecca Chenoweth,English,4.6,19 ratings,94%,3.2
Nick Pici,English,3.8,18 ratings,N/A,2.9
Melody Jue,English,4.4,14 ratings,86%,3
Heather Blurton,English,3.4,14 ratings,40%,2.8
Swati Rana,English,3.2,13 ratings,46%,3.1
Shannon Meyer,English,2.0,9 ratings,N/A,3.9
Catherine Zusky,English,4.8,6 ratings,N/A,2.3
Donna Ellard,English,4.4,4 ratings,N/A,2.5
Jessica Ramsay,English,5.0,1 ratings,N/A,1
Heidi Amin-Hong,English,5.0,1 ratings,100%,3
Kenneth Smith,English,0.0,0 ratings,N/A,0
Sandra Starkey,English,0.0,0 ratings,N/A,0
Yunte Huang,English,3.1,69 ratings,39%,2
Maurizia Boscagli,English,3.4,58 ratings,58%,3.2
J J Kearney,English,4.3,57 ratings,85%,2.5
Brian Loftus,English,3.2,45 ratings,N/A,3.2
Brian Donnelly,English,4.6,40 ratings,95%,2.6
Patricia Fumerton,English,3.9,30 ratings,72%,3
Caroline Allen,English,4.0,26 ratings,100%,2.8
Jeannine Delombard,English,2.4,22 ratings,15%,4.6
Carol Pasternak,English,2.7,21 ratings,N/A,2.9
Aaron Ullrey,English,3.1,18 ratings,75%,3.9
William Warner,English,2.8,17 ratings,N/A,3.4
Steve Allaback,English,4.3,16 ratings,N/A,1.6
Megan Fernandes,English,4.4,14 ratings,N/A,2.2
Rachael King,English,2.8,12 ratings,46%,3.2
Porter Abbott,English,4.0,11 ratings,N/A,2.8
Arpi Movsesian,English,4.9,11 ratings,100%,2.9
Jeff Beckstrand,English,2.9,10 ratings,N/A,3.2
Daniel Reeve,English,3.1,10 ratings,20%,3.5
Joyce King,English,1.7,6 ratings,0%,3.3
Brent Brinkman,English,3.2,5 ratings,N/A,3.8
Kristen McCants,English,4.4,5 ratings,80%,2.4
Chip Badley,English,4.2,4 ratings,67%,3
Charlotte Becker,English,4.7,3 ratings,N/A,2.7
Cherrie Moraga,English,4.0,3 ratings,67%,3
Judith Paltin,English,1.0,2 ratings,N/A,5
Kristy McCants,English,5.0,2 ratings,100%,2
Alanna Bartolini,English,4.5,2 ratings,50%,3
Cathy Thomas,English,3.0,2 ratings,50%,3.5
Paul Megna,English,4.5,1 ratings,N/A,1
Kaaronica Evans-Ware,English,4.0,1 ratings,100%,3
Christine Weidner,English,4.0,1 ratings,100%,1
Celeste McAlpin-Levitt,English,5.0,1 ratings,100%,3
Olivia Henderson,English,0.0,0 ratings,N/A,0
Margaret McCurtrey,English,0.0,0 ratings,N/A,0
Kenneth (Ken) Hiltner,English,3.8,296 ratings,69%,2.8
Mark Maslan,English,3.4,51 ratings,58%,3.2
Jeremy Douglass,English,3.4,26 ratings,59%,2.6
Richard Helgerson,English,4.0,15 ratings,N/A,2.9
Janis Caldwell,English,4.5,14 ratings,100%,1.8
Adriane Friedl,English,3.7,11 ratings,N/A,3.1
Allison Carruth,English,3.1,8 ratings,N/A,2.9
Mike Frangos,English,4.7,7 ratings,100%,3.7
Zia Isola,English,4.6,5 ratings,N/A,2.6
Leah Norris,English,5.0,5 ratings,100%,2.4
Susan Keller,English,2.3,4 ratings,N/A,3
Theresa Russ,English,1.8,2 ratings,N/A,3.5
Emily Zinn,English,4.5,2 ratings,100%,3
Tyler Shoemaker,English,5.0,1 ratings,100%,4
Glyn Salton Cox,English,5.0,1 ratings,100%,3
Jonathan Callies,English,4.5,1 ratings,N/A,3
Amrah Salomón,English,2.0,2 ratings,0%,4
Daniel Tybjerg,English,5.0,1 ratings,100%,1
Shaun Nowicki,English,0.0,0 ratings,N/A,0
Andrew Griffin,English,4.0,52 ratings,49%,2.6
Felice Blake,English,4.4,47 ratings,90%,2.9
Rita Raley,English,4.1,44 ratings,43%,3.3
Bishnupriya Ghosh,English,3.9,41 ratings,67%,2.1
Mark Rose,English,4.5,40 ratings,100%,2.3
Ljiljana Coklin,English,3.8,39 ratings,86%,3
Alan Liu,English,2.6,32 ratings,22%,4.1
Teresa Shewry,English,4.8,26 ratings,95%,2.2
Russell Samolsky,English,4.2,19 ratings,67%,3
Carl Gutierrez-Jones,English,4.8,18 ratings,100%,2.2
Giorgina Paiella,English,4.7,17 ratings,95%,2.8
Sowon Park,English,4.2,13 ratings,77%,3.8
Colin Carman,English,4.3,11 ratings,N/A,2.6
Jonathan Forbes,English,4.8,11 ratings,100%,2.1
Talya Meyers,English,3.8,8 ratings,63%,3
Billy Collins,English,4.8,8 ratings,100%,2.5
Rob Wallace,English,4.6,6 ratings,N/A,2.5
Pavneet Aulakh,English,4.8,6 ratings,N/A,3.2
Brandon Fastman,English,4.8,6 ratings,N/A,2
Amanda Phillips,English,4.8,3 ratings,N/A,3
Jeremy Chow,English,4.0,3 ratings,67%,4.3
Zach Horton,English,4.3,2 ratings,100%,3
Ryan Leach,English,5.0,2 ratings,100%,2
Abigail Drodge,English,5.0,1 ratings,100%,2
Lara Rutherford,English,5.0,1 ratings,N/A,1
James Pulizzi,English,4.5,1 ratings,N/A,1
Randall Rightmire,English,1.0,1 ratings,0%,3
Clinton Terrell,English,0.0,0 ratings,N/A,0
Christopher Walker,English,0.0,0 ratings,N/A,0
Erik Nielsen,Environmental Science,3.8,32 ratings,60%,2.7
William Freudenberg,Environmental Science,4.6,7 ratings,N/A,2.6
Robert Wilkinson,Environmental Science,3.4,14 ratings,N/A,1.9
Jeff Dozier,Environmental Science,4.1,5 ratings,N/A,4.2
Deron Burkepile,Environmental Science & Mgmt.,4.1,7 ratings,72%,3.1
Bridget Lewin,Environmental Science & Mgmt.,3.9,6 ratings,100%,1.3
Shithi Kamal-Heikman,Environmental Science & Mgmt.,2.0,6 ratings,17%,3
Sara Baguskas,Environmental Science & Mgmt.,3.5,2 ratings,N/A,2.5
Monique Myers,Environmental Science & Mgmt.,2.0,1 ratings,N/A,5
Arturo Keller,Environmental Science & Mgmt.,5.0,1 ratings,N/A,2
Kelly Caylor,Environmental Science & Mgmt.,1.0,1 ratings,0%,3
Michael Brown,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Ranjit Deshmukh,Environmental Science & Mgmt.,3.9,16 ratings,75%,2.8
Kristie Klose,Environmental Science & Mgmt.,4.4,13 ratings,N/A,3.2
Erik Muller,Environmental Science & Mgmt.,4.8,7 ratings,100%,1.9
Dan Klemann,Environmental Science & Mgmt.,4.0,3 ratings,67%,3.3
Michael Schindlinger,Environmental Science & Mgmt.,2.0,2 ratings,N/A,3.5
Patrick Hunnicutt,Environmental Science & Mgmt.,5.0,2 ratings,100%,4
Lisa Sideris,Environmental Science & Mgmt.,5.0,1 ratings,100%,2
Grace Wu,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Greg Wahlert,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
David Stone,Environmental Science & Mgmt.,4.7,17 ratings,92%,2.7
Claudia Tyler,Environmental Science & Mgmt.,5.0,9 ratings,100%,1.6
Blair Paul,Environmental Science & Mgmt.,3.7,6 ratings,67%,3.3
Olivia Anderson,Environmental Science & Mgmt.,2.0,5 ratings,20%,3.2
Molly Redmond,Environmental Science & Mgmt.,3.5,1 ratings,N/A,2
Jeremy Jacobs,Environmental Science & Mgmt.,5.0,1 ratings,100%,4
Jessica Lovering,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Cori Lopazanski,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Oliver Chadwick,Environmental Science & Mgmt.,3.3,12 ratings,34%,3.3
Celia Alario,Environmental Science & Mgmt.,4.5,9 ratings,100%,2.6
Dawn Murray,Environmental Science & Mgmt.,4.0,3 ratings,100%,2
Rita Bright,Environmental Science & Mgmt.,4.0,1 ratings,100%,2
Sage Kime,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Kelsey Dowdy,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Jason Maier,Environmental Science & Mgmt.,0.0,0 ratings,N/A,0
Simone Pulver,Environmental Science & Mgmt.,4.2,16 ratings,100%,3.1
Debra Perrone,Environmental Science & Mgmt.,4.9,11 ratings,100%,2.8
Lori Pye,Environmental Science & Mgmt.,4.0,9 ratings,100%,1.8
J.H. Dickstein,Environmental Science & Mgmt.,3.7,3 ratings,34%,3.3
Liz Carlisle,Environmental Science & Mgmt.,5.0,2 ratings,100%,2.5
Tom Dunne,Environmental Science & Mgmt.,5.0,1 ratings,N/A,3
Joaquin Meckler-Pacheco,Environmental Science & Mgmt.,5.0,1 ratings,100%,4
Scott Jasechko,Environmental Science & Mgmt.,1.0,1 ratings,0%,1
Linda Krop,Environmental Studies,4.6,10 ratings,100%,2.4
Roberto Strongman,Ethnic Studies,3.0,52 ratings,59%,3.4
Jim Lee,Ethnic Studies,3.8,30 ratings,N/A,2.3
Julianne Gavino,Ethnic Studies,5.0,2 ratings,N/A,4.5
John Park,Ethnic Studies,4.2,119 ratings,80%,3.1
Edwina Barvosa-Carter,Ethnic Studies,2.5,41 ratings,N/A,3.4
Jane Duran,Ethnic Studies,3.8,23 ratings,100%,2.3
Jennifer Hsu,Ethnic Studies,4.7,20 ratings,100%,2.5
Sarah Babcock,Ethnic Studies,1.0,2 ratings,0%,5
Christopher McAuley,Ethnic Studies,4.3,72 ratings,85%,2.5
Xiaojian Zhao,Ethnic Studies,3.8,64 ratings,69%,2.5
Sameer Pandya,Ethnic Studies,4.5,46 ratings,93%,2.5
Francisco Lomeli,Ethnic Studies,2.7,35 ratings,0%,3.3
Cedric Robinson,Ethnic Studies,3.5,28 ratings,100%,3.5
Sabine Fruhstuck,Ethnic Studies,3.6,23 ratings,45%,2.8
Ann-Elise Lewallen,Ethnic Studies,3.8,10 ratings,75%,2.7
Kuo-Ch'Ing Tu,Ethnic Studies,2.3,3 ratings,0%,2.7
Michelle Samura,Ethnic Studies,4.5,1 ratings,N/A,2
Jude Akudinobi,Ethnic Studies,3.3,83 ratings,53%,2.3
Celine Shimizu,Ethnic Studies,3.1,47 ratings,100%,3.8
Ralph Ambruster-Sandoval,Ethnic Studies,4.2,41 ratings,100%,2.4
Ingrid Banks,Ethnic Studies,2.7,90 ratings,16%,4.6
Erin Ninh,Ethnic Studies,3.6,50 ratings,57%,3.5
Gerardo Aldana,Ethnic Studies,3.1,47 ratings,100%,3.6
Tara Yosso,Ethnic Studies,2.0,25 ratings,N/A,3
Ambi Harsha,Ethnic Studies,4.5,19 ratings,N/A,1.6
Sunae Lee,Ethnic Studies,4.9,14 ratings,100%,2
Carl Gabrielson,Ethnic Studies,0.0,0 ratings,N/A,0
Dee Del Nero,Exercise & Sport Studies,5.0,2 ratings,N/A,1.5
Amy Jamieson,Exercise & Sport Studies,3.3,83 ratings,63%,2.2
Allison Parakh,Exercise & Sport Studies,5.0,1 ratings,N/A,1
Ryan Gage,Exercise & Sport Studies,2.5,2 ratings,50%,2
Serela Kay,Exercise & Sport Studies,0.0,0 ratings,N/A,0
Kevin Hatcher,Exercise & Sport Studies,4.0,8 ratings,88%,2
Allison Slade,Exercise & Sport Studies,3.0,30 ratings,34%,3.4
Peter Aguilar,Exercise & Sport Studies,4.7,27 ratings,N/A,2.3
Dan Ahiers,Exercise & Sport Studies,5.0,1 ratings,N/A,1
Debanuj Dasgupta,Feminist Studies,3.9,17 ratings,77%,2.6
Laura Tanner,Feminist Studies,2.0,7 ratings,15%,2.9
Nicole Filler,Feminist Studies,3.7,6 ratings,67%,2.8
Megan Spencer,Feminist Studies,5.0,1 ratings,100%,2
Fabienne Doiron,Feminist Studies,0.0,0 ratings,N/A,0
Isabella Restrepo,Feminist Studies,4.2,10 ratings,80%,2.9
Anita Stahl,Feminist Studies,4.8,9 ratings,100%,2.8
Joan Budesa,Feminist Studies,3.5,4 ratings,75%,2
Amoni Thompson,Feminist Studies,4.0,1 ratings,100%,2
Katie Von Wald,Feminist Studies,5.0,1 ratings,100%,2
Catherine McGillivray,Feminist Studies,0.0,0 ratings,N/A,0
Jacqueline Bobo,Feminist Studies,4.1,10 ratings,100%,2.2
Anisha Thomas,Feminist Studies,4.0,1 ratings,100%,1
Pawan Rehill,Feminist Studies,0.0,0 ratings,N/A,0
Barbara Tomlinson,Feminist Studies,4.5,13 ratings,100%,4
Dr. Coco Gutiérrez-Magallanes,Feminist Studies,2.5,6 ratings,34%,1.7
Jordan Victorian,Feminist Studies,3.5,6 ratings,67%,2.2
Chelsea Jones,Feminist Studies,4.8,4 ratings,100%,2.3
Mariacutea Gutierrez-Mag,Feminist Studies,5.0,1 ratings,100%,1
AP Pierce,Feminist Studies,4.6,10 ratings,80%,2.5
Jennifer Tyburczy,Feminist Studies,4.7,9 ratings,89%,2.4
Anna Wald,Feminist Studies,4.3,6 ratings,100%,2
Matt Richardson,Feminist Studies,2.4,5 ratings,20%,3
Nancy Morales,Feminist Studies,2.0,4 ratings,0%,2.5
Anna Arrowsmith,Feminist Studies,5.0,1 ratings,100%,1
Elisabeth Ayuk-Etang,Feminist Studies,2.0,1 ratings,0%,2
Kimberly Soriano,Feminist Studies,4.0,1 ratings,100%,1
Anna Brusutti,Film,3.1,165 ratings,40%,3
Christina Venegas,Film,2.4,23 ratings,10%,3.4
Allan Langdale,Film,3.0,4 ratings,50%,3.8
Ali Learned-Wolf,Film,2.7,3 ratings,67%,2.7
Amaru Tejeda,Film,0.0,0 ratings,N/A,0
Heidi Duckler,Film,0.0,0 ratings,N/A,0
Bhaskar Sarkar,Film,3.3,52 ratings,30%,3.5
Greg Siegel,Film,3.2,28 ratings,41%,4.2
Edward Branigan,Film,3.9,22 ratings,N/A,3.9
Janet Walker,Film,4.1,14 ratings,67%,2.9
Chris Jenkins,Film,4.8,4 ratings,100%,2.5
Michael Curtin,Film,3.9,3 ratings,100%,3.3
Joshua Neves,Film,5.0,3 ratings,N/A,3
Danny Grinberg,Film,3.5,2 ratings,50%,3
Glynn Beard,Film,3.5,1 ratings,N/A,3
Lan Le,Film,1.0,1 ratings,0%,4
Nicole Strobel,Film,0.0,0 ratings,N/A,0
Lisa Parks,Film,4.6,20 ratings,100%,3.1
Constance Penley,Film,3.6,20 ratings,56%,2.1
Charles Wolfe,Film,4.4,17 ratings,80%,3.6
Paul Portuges,Film,4.1,14 ratings,N/A,1.8
Allison Anders,Film,4.5,12 ratings,50%,1.5
Jacqueline Apodaca,Film,4.9,10 ratings,N/A,1.2
Ross Melnick,Film,4.9,10 ratings,100%,2.6
Alenda Chang,Film,2.5,10 ratings,40%,4
Naoki Yamamoto,Film,3.0,9 ratings,75%,3.4
Mona Damluji,Film,3.5,6 ratings,67%,3.5
Allison Ross,Film,2.3,3 ratings,34%,2.7
Emily Carman,Film,4.3,2 ratings,N/A,3
Wendy Jackson,Film,5.0,2 ratings,100%,2.5
Annie Wyman,Film,2.0,1 ratings,0%,2
Nathan Roberts,Film,0.0,0 ratings,N/A,0
Kip Fulbeck,Film,4.0,51 ratings,72%,3
Jennifer Holt,Film,4.1,48 ratings,75%,3.5
Cheri Steinkellner,Film,4.6,33 ratings,96%,1.5
James McNamara,Film,4.8,24 ratings,96%,3.2
Jaimie Baron,Film,4.5,2 ratings,N/A,2
Michael Miner,Film,2.0,2 ratings,0%,2.5
Sasha Razor,Film,5.0,1 ratings,100%,2
Cynthia Felando,Film,3.0,89 ratings,28%,3.7
Peter Bloom,Film,2.9,25 ratings,34%,3.8
Dana Driskel,Film,4.1,18 ratings,25%,3.6
Heather Osborne Thompson,Film,3.9,16 ratings,90%,3
Anna Everett,Film,3.4,12 ratings,67%,2.8
Regina Longo,Film,3.6,7 ratings,N/A,2.9
Joshua Moss,Film,4.0,7 ratings,N/A,2.6
Jarrett Golding,Film,5.0,4 ratings,100%,2.5
Patrice Petro,Film,5.0,2 ratings,100%,3.5
Melinda Szaloky,Film,1.8,2 ratings,N/A,5
Laila Sakr,Film,5.0,1 ratings,100%,2
Tyler Morgenstern,Film,0.0,0 ratings,N/A,0
Kevin Suber,Finance,5.0,7 ratings,100%,3.6
Lynn Chen,Finance,0.0,0 ratings,N/A,0
Rick Learman,Finance,2.7,3 ratings,67%,4
Mark Batongmalaque,Fine Arts,4.4,9 ratings,N/A,2.6
. Mulfinger,Fine Arts,4.4,5 ratings,N/A,3.4
Elcin Joyner,Fine Arts,3.8,4 ratings,N/A,1.8
Lisa Jevbratt,Fine Arts,4.0,2 ratings,100%,2
Elizabeth Folk,Fine Arts,4.5,1 ratings,N/A,4
Meredith Lyons,Fine Arts,0.0,0 ratings,N/A,0
Nuha Khoury,Fine Arts,2.0,56 ratings,29%,3.6
Peter Sturman,Fine Arts,3.5,35 ratings,47%,3.1
Christina McCarthy,Fine Arts,3.7,7 ratings,100%,3
Nancy Colahan,Fine Arts,4.5,5 ratings,100%,3.8
Reagan Haynes,Fine Arts,1.0,1 ratings,0%,3
John Chapman,Fine Arts,2.7,66 ratings,0%,1.9
Delila Moseley,Fine Arts,3.2,14 ratings,80%,1.7
Graham Budgett,Fine Arts,3.6,7 ratings,N/A,3.3
Harry Reese,Fine Arts,3.6,7 ratings,100%,3.4
Anne Jensen-Adams,Fine Arts,3.5,6 ratings,67%,3.2
Chet Glaze,Fine Arts,3.7,5 ratings,N/A,4.4
Muhammad Ahmad,Fine Arts,2.0,1 ratings,N/A,4
Brandon Whited,Fine Arts,0.0,0 ratings,N/A,0
Carole Paul,Fine Arts,2.9,66 ratings,27%,3.4
Jeanette Peterson,Fine Arts,3.6,20 ratings,N/A,3.1
Eric Beltz,Fine Arts,4.7,14 ratings,100%,3.8
Kim Yasuda,Fine Arts,3.5,13 ratings,100%,2.9
Valerie Huston,Fine Arts,4.3,6 ratings,75%,4.2
Carol Press,Fine Arts,3.6,185 ratings,80%,1.9
Laurel Beckman,Fine Arts,3.5,14 ratings,100%,3.9
Dimitri Kozyrev,Fine Arts,4.8,6 ratings,N/A,3.8
Marko Peljhan,Fine Arts,2.1,4 ratings,N/A,3
Renan Larue,French,3.3,17 ratings,53%,3.3
Mariam Lmaifi,French,4.6,5 ratings,100%,2.8
Kyle Patterson,French,5.0,5 ratings,100%,2.6
Aria Dal Molin,French,5.0,4 ratings,100%,1.5
SC Kaplan,French,2.0,3 ratings,34%,3
Rebecca Powers,French,1.6,7 ratings,15%,2.9
Daniel Martini,French,5.0,4 ratings,100%,2.8
Marta Mendes Braga,French,5.0,2 ratings,100%,3
Chelsea Tanous,French,0.0,0 ratings,N/A,0
Catherine Nesci,French,4.2,27 ratings,78%,2.7
Marion Phillips,French,5.0,2 ratings,100%,2.5
Violaine Desgens-Martin,French,0.0,0 ratings,N/A,0
Marion Labatut,French,5.0,22 ratings,100%,2.6
Chadi Ben Youssef,French,4.0,5 ratings,80%,3.2
Deepti Menon,French,1.0,4 ratings,0%,3.5
Marie Chantre,French,4.5,2 ratings,100%,3
Amanda Andersen,French,4.0,1 ratings,100%,4
Allie Appino-Tabone,French,1.0,1 ratings,0%,1
Laisa Cherif,French,5.0,1 ratings,100%,1
Pauline Ziserman,French,4.7,3 ratings,67%,2.7
Manon Portenart,French,5.0,1 ratings,100%,3
Maria Crickette,French & Italian,4.7,25 ratings,94%,2.4
Sarah Roberts,French & Italian,4.8,18 ratings,100%,2.7
Art Kolzow,French & Italian,2.0,2 ratings,N/A,2.5
Mikael Gayen,French & Italian,5.0,6 ratings,100%,3.3
Louis Bousquet,French & Italian,4.8,4 ratings,N/A,1.8
Maud Maillard,French & Italian,4.8,13 ratings,100%,2.1
Laura Sarnelli,French & Italian,4.8,12 ratings,100%,2.3
Anneliese Pollock,French & Italian,3.3,2 ratings,N/A,1.5
Marion Phillips,French & Italian,5.0,1 ratings,100%,2
Stephanie Malia Hom,French & Italian,4.8,13 ratings,93%,1.8
Dan Montello,Geography,3.0,155 ratings,25%,3.3
Keith Clarke,Geography,3.5,33 ratings,80%,2.6
Hugo Loaiciga,Geography,2.7,20 ratings,55%,3
Chris Still,Geography,3.6,16 ratings,N/A,2.8
Jennifer King,Geography,4.8,14 ratings,86%,2.9
Vena Chu,Geography,5.0,13 ratings,93%,2.9
David Lopez-Carr,Geography,2.6,11 ratings,28%,2.5
Damilola Eyelade,Geography,4.8,10 ratings,100%,2.4
Qinghua Ding,Geography,4.3,9 ratings,78%,1.8
Daniel Ervin,Geography,3.6,6 ratings,100%,2.5
Lumari Pardo-Rodriguez,Geography,4.2,5 ratings,80%,2.4
Song Gao,Geography,4.8,5 ratings,100%,2.2
Ryan Perroy,Geography,2.7,3 ratings,N/A,4.3
Daniel Philips,Geography,3.5,2 ratings,50%,2.5
Kevin Mwenda,Geography,3.3,2 ratings,N/A,2.5
Chris Kibler,Geography,5.0,1 ratings,100%,2
Laura Reynolds,Geography,5.0,1 ratings,N/A,3
Evgeny Noi,Geography,3.0,1 ratings,0%,3
Alan Murray,Geography,5.0,1 ratings,100%,4
Geordie Armstrong,Geography,0.0,0 ratings,N/A,0
Dar Roberts,Geography,4.5,25 ratings,73%,3.6
Catherine Gautier,Geography,2.8,23 ratings,0%,3.3
John Cottle,Geography,4.3,22 ratings,90%,2.8
Joel Michaelsen,Geography,2.5,14 ratings,N/A,3
Mike Goodchild,Geography,4.5,10 ratings,N/A,2.7
Werner Kuhn,Geography,1.4,10 ratings,25%,4.3
Ted Eckmann,Geography,4.3,9 ratings,N/A,4.2
Cascade Tuholske,Geography,3.8,5 ratings,80%,3
Brandi Gamelin,Geography,4.4,5 ratings,80%,2.6
Kirk Goldsberry,Geography,4.8,3 ratings,100%,2.7
Hallie Eakin,Geography,4.7,3 ratings,N/A,3.7
Frank Davenport,Geography,4.5,1 ratings,N/A,2
Stuart Sweeney,Geography,3.1,50 ratings,80%,2.4
Tessa Montini,Geography,2.5,14 ratings,43%,2.7
Libe Washburn,Geography,4.3,14 ratings,100%,3.2
Brett Hartman,Geography,2.7,14 ratings,0%,2.7
Anna Trugman,Geography,3.9,14 ratings,65%,2.7
Terry Smith,Geography,4.2,11 ratings,N/A,2.4
Krzysztof Janowicz,Geography,4.1,9 ratings,67%,3
Charles Jones,Geography,3.3,8 ratings,43%,2.8
Tim Niblett,Geography,2.8,6 ratings,N/A,2.3
Thomas Pingel,Geography,5.0,4 ratings,100%,1.8
Nick Nidzieko,Geography,4.7,3 ratings,67%,4
Danqing Xiao,Geography,4.3,2 ratings,N/A,1
Dylan Catlett,Geography,3.5,2 ratings,50%,3.5
Ryan Kelley,Geography,5.0,1 ratings,N/A,3
Sara Lafia,Geography,0.0,0 ratings,N/A,0
Liz Ackert,Geography,4.8,14 ratings,100%,2.9
Nicoletta Browne,Geography,3.7,12 ratings,67%,2.9
Elizabeth Chrastil,Geography,2.6,10 ratings,40%,2.3
Somayeh Dodge,Geography,3.9,8 ratings,63%,3.1
Jose Saleta,Geography,2.9,7 ratings,N/A,1.9
Richard Church,Geography,3.2,6 ratings,N/A,3.2
Crystal Bae,Geography,4.4,5 ratings,N/A,2.2
Daniel Montello,Geography,1.5,4 ratings,0%,4.3
Trisalyn Nelson,Geography,5.0,3 ratings,100%,1.3
Jessica Marter-Kenyon,Geography,5.0,1 ratings,100%,1
Yingjie Hu,Geography,5.0,1 ratings,N/A,4
Marcela Suarez,Geography,4.0,1 ratings,100%,1
Edward Keller,Geography,3.3,63 ratings,40%,2.8
Tommy Dickey,Geography,4.5,50 ratings,100%,1.6
Timothy Devries,Geography,4.6,34 ratings,92%,2.2
Helen Couclelis,Geography,2.5,20 ratings,N/A,3.1
Joe McFadden,Geography,4.3,13 ratings,100%,2.9
David Carr,Geography,4.4,13 ratings,100%,2.6
Kostas Goulias,Geography,4.2,12 ratings,100%,1.5
Susan Cassels,Geography,3.4,10 ratings,58%,2.8
Ian Walker,Geography,4.3,7 ratings,72%,3.4
Denise Knapp,Geography,3.3,6 ratings,67%,4
Sarah Harris,Geography,4.2,6 ratings,84%,2.7
Leila Carvalho,Geography,2.8,6 ratings,0%,2.3
Annemarie Schneider,Geography,3.8,5 ratings,N/A,3
Karly Miller,Geography,2.3,4 ratings,25%,3.8
